compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start
MEDIUM,2,84,76,1140,7763,19,0
MEDIUM,22,85,77,1140,7763,10,0
MEDIUM,24,93,78,1140,7763,18,0
MEDIUM,14,95,81,1140,7763,14,0
MEDIUM,2,85,85,1140,7763,20,0
MEDIUM,2,86,86,1140,7763,21,0
MEDIUM,2,105,87,1140,7763,22,1
HARD,24,113,94,1140,7763,19,0
MEDIUM,14,110,96,1140,7763,15,1
HARD,2,125,106,1140,7763,23,0
HARD,14,113,111,1140,7763,16,0
MEDIUM,24,116,114,1140,7763,20,20
MEDIUM,14,118,114,1140,7763,17,0
MEDIUM,24,119,117,1140,7763,21,0
MEDIUM,14,123,119,1140,7763,18,0
MEDIUM,24,122,120,1140,7763,22,0
SOFT,24,125,123,1140,7763,23,0
MEDIUM,14,128,124,1140,7763,19,0
SOFT,24,128,126,1140,7763,24,0
MEDIUM,2,144,126,1140,7763,24,0
MEDIUM,24,129,129,1140,7763,25,0
MEDIUM,14,130,129,1140,7763,20,5
SOFT,24,130,130,1140,7763,26,0
SOFT,24,131,131,1140,7763,27,3
MEDIUM,24,132,132,1140,7763,28,14
MEDIUM,2,154,145,1140,7763,25,0
MEDIUM,10,1,1,1140,7764,1,6
SOFT,21,2,1,1140,7764,1,3
SOFT,23,2,1,1140,7764,1,3
MEDIUM,27,2,1,1140,7764,1,0
MEDIUM,55,2,1,1140,7764,1,12
MEDIUM,77,2,1,1140,7764,1,8
MEDIUM,11,3,1,1140,7764,1,0
UNKNOWN,31,3,1,1140,7764,1,0
MEDIUM,63,3,1,1140,7764,1,0
MEDIUM,4,4,1,1140,7764,1,7
MEDIUM,16,4,1,1140,7764,1,9
MEDIUM,34,4,1,1140,7764,1,0
MEDIUM,81,4,1,1140,7764,1,5
MEDIUM,14,5,1,1140,7764,1,0
MEDIUM,20,7,1,1140,7764,1,0
MEDIUM,44,10,1,1140,7764,1,5
MEDIUM,22,11,1,1140,7764,1,0
MEDIUM,10,2,2,1140,7764,2,7
SOFT,23,3,3,1140,7764,2,5
SOFT,21,5,3,1140,7764,2,5
MEDIUM,10,7,3,1140,7764,3,3
MEDIUM,55,7,3,1140,7764,2,8
MEDIUM,27,8,3,1140,7764,2,1
MEDIUM,77,14,3,1140,7764,2,0
MEDIUM,11,4,4,1140,7764,2,3
SOFT,23,4,4,1140,7764,3,0
MEDIUM,63,7,4,1140,7764,2,2
UNKNOWN,31,8,4,1140,7764,2,0
SOFT,23,6,5,1140,7764,4,0
MEDIUM,11,7,5,1140,7764,3,0
MEDIUM,34,7,5,1140,7764,2,5
MEDIUM,81,8,5,1140,7764,2,0
MEDIUM,16,9,5,1140,7764,2,0
MEDIUM,4,13,5,1140,7764,2,0
MEDIUM,14,10,6,1140,7764,2,0
MEDIUM,21,15,6,1140,7764,3,4
SOFT,23,7,7,1140,7764,5,9
MEDIUM,34,8,8,1140,7764,3,8
SOFT,23,8,8,1140,7764,6,10
MEDIUM,63,10,8,1140,7764,3,0
MEDIUM,55,10,8,1140,7764,3,13
MEDIUM,10,12,8,1140,7764,4,0
MEDIUM,11,13,8,1140,7764,4,0
MEDIUM,20,14,8,1140,7764,2,0
SOFT,23,10,9,1140,7764,7,11
MEDIUM,34,11,9,1140,7764,4,7
MEDIUM,27,13,9,1140,7764,3,0
MEDIUM,81,13,9,1140,7764,3,0
MEDIUM,31,13,9,1140,7764,3,0
MEDIUM,16,14,10,1140,7764,3,0
MEDIUM,63,12,11,1140,7764,4,3
SOFT,23,12,11,1140,7764,8,0
MEDIUM,55,13,11,1140,7764,4,0
MEDIUM,14,13,11,1140,7764,3,0
MEDIUM,44,23,11,1140,7764,2,0
TEST_UNKNOWN,34,16,12,1140,7764,5,0
MEDIUM,22,22,12,1140,7764,2,0
SOFT,23,13,13,1140,7764,9,0
SOFT,63,15,13,1140,7764,5,0
MEDIUM,10,17,13,1140,7764,5,0
SOFT,23,16,14,1140,7764,10,16
MEDIUM,55,16,14,1140,7764,5,3
MEDIUM,14,16,14,1140,7764,4,0
MEDIUM,4,17,14,1140,7764,3,0
MEDIUM,31,20,14,1140,7764,4,0
MEDIUM,11,21,14,1140,7764,5,0
MEDIUM,27,24,14,1140,7764,4,0
MEDIUM,81,25,14,1140,7764,4,0
MEDIUM,77,15,15,1140,7764,3,12
SOFT,16,17,15,1140,7764,4,0
MEDIUM,20,30,15,1140,7764,3,5
MEDIUM,77,16,16,1140,7764,4,10
MEDIUM,21,16,16,1140,7764,4,0
SOFT,63,18,16,1140,7764,6,0
SOFT,23,17,17,1140,7764,11,19
HARD,77,17,17,1140,7764,5,0
MEDIUM,55,19,17,1140,7764,6,0
SOFT,14,19,17,1140,7764,5,0
TEST_UNKNOWN,34,21,17,1140,7764,6,0
MEDIUM,21,33,17,1140,7764,5,1
HARD,77,18,18,1140,7764,6,0
MEDIUM,4,20,18,1140,7764,4,0
SOFT,16,22,18,1140,7764,5,0
MEDIUM,10,23,18,1140,7764,6,0
MEDIUM,23,24,18,1140,7764,12,0
SOFT,63,21,19,1140,7764,7,0
HARD,77,40,19,1140,7764,7,0
MEDIUM,55,21,20,1140,7764,7,3
MEDIUM,14,35,20,1140,7764,6,0
MEDIUM,31,27,21,1140,7764,5,0
MEDIUM,4,29,21,1140,7764,5,3
MEDIUM,63,22,22,1140,7764,8,5
MEDIUM,11,24,22,1140,7764,6,0
SOFT,34,24,22,1140,7764,7,0
SOFT,55,24,22,1140,7764,8,0
SOFT,16,25,23,1140,7764,6,0
MEDIUM,22,33,23,1140,7764,3,0
MEDIUM,63,37,23,1140,7764,9,6
MEDIUM,44,26,24,1140,7764,3,0
MEDIUM,10,32,24,1140,7764,7,0
UNKNOWN,23,25,25,1140,7764,13,0
MEDIUM,11,27,25,1140,7764,7,0
SOFT,34,27,25,1140,7764,8,0
SOFT,55,27,25,1140,7764,9,0
MEDIUM,27,35,25,1140,7764,5,0
MEDIUM,23,31,26,1140,7764,14,0
MEDIUM,81,31,26,1140,7764,5,0
MEDIUM,16,38,26,1140,7764,7,3
MEDIUM,44,28,27,1140,7764,4,3
MEDIUM,34,28,28,1140,7764,9,0
MEDIUM,31,30,28,1140,7764,6,0
SOFT,55,30,28,1140,7764,10,0
MEDIUM,11,35,28,1140,7764,8,6
MEDIUM,44,31,29,1140,7764,5,0
MEDIUM,34,45,29,1140,7764,10,0
HARD,4,34,30,1140,7764,6,0
MEDIUM,55,31,31,1140,7764,11,0
MEDIUM,31,33,31,1140,7764,7,3
MEDIUM,20,47,31,1140,7764,4,0
MEDIUM,23,32,32,1140,7764,15,0
MEDIUM,44,34,32,1140,7764,6,3
HARD,81,40,32,1140,7764,6,0
MEDIUM,55,49,32,1140,7764,12,1
TEST_UNKNOWN,23,35,33,1140,7764,16,0
MEDIUM,10,40,33,1140,7764,8,5
MEDIUM,31,39,34,1140,7764,8,0
MEDIUM,22,44,34,1140,7764,4,0
HARD,21,55,34,1140,7764,6,0
HARD,4,37,35,1140,7764,7,5
MEDIUM,44,39,35,1140,7764,7,0
TEST_UNKNOWN,23,38,36,1140,7764,17,0
MEDIUM,11,40,36,1140,7764,9,0
MEDIUM,27,46,36,1140,7764,6,8
HARD,14,56,36,1140,7764,7,0
MEDIUM,63,56,38,1140,7764,10,0
MEDIUM,23,41,39,1140,7764,18,0
MEDIUM,16,42,39,1140,7764,8,4
HARD,31,40,40,1140,7764,9,0
SOFT,44,43,40,1140,7764,8,0
HARD,81,41,41,1140,7764,7,9
MEDIUM,11,48,41,1140,7764,10,0
MEDIUM,10,49,41,1140,7764,9,6
MEDIUM,77,59,41,1140,7764,8,0
HARD,31,63,41,1140,7764,10,1
MEDIUM,23,44,42,1140,7764,19,3
HARD,81,44,42,1140,7764,8,10
MEDIUM,16,56,43,1140,7764,9,4
SOFT,44,46,44,1140,7764,9,0
SOFT,23,47,45,1140,7764,20,0
MEDIUM,22,50,45,1140,7764,5,0
HARD,34,60,46,1140,7764,11,3
SOFT,44,49,47,1140,7764,10,0
MEDIUM,27,62,47,1140,7764,7,0
SOFT,23,50,48,1140,7764,21,0
HARD,20,72,48,1140,7764,5,0
MEDIUM,11,49,49,1140,7764,11,0
MEDIUM,11,52,50,1140,7764,12,1
MEDIUM,10,56,50,1140,7764,10,0
MEDIUM,55,57,50,1140,7764,13,0
MEDIUM,44,59,50,1140,7764,11,6
SOFT,23,53,51,1140,7764,22,0
MEDIUM,22,53,51,1140,7764,6,0
MEDIUM,11,58,53,1140,7764,13,4
MEDIUM,23,54,54,1140,7764,23,6
SOFT,22,56,54,1140,7764,7,0
MEDIUM,23,63,55,1140,7764,24,0
MEDIUM,21,70,56,1140,7764,7,0
MEDIUM,10,58,57,1140,7764,11,0
SOFT,22,59,57,1140,7764,8,0
SOFT,16,67,57,1140,7764,10,3
HARD,63,71,57,1140,7764,11,0
MEDIUM,14,77,57,1140,7764,8,0
HARD,55,66,58,1140,7764,14,0
MEDIUM,11,61,59,1140,7764,14,0
MEDIUM,44,60,60,1140,7764,12,5
MEDIUM,22,61,60,1140,7764,9,6
MEDIUM,77,72,60,1140,7764,9,0
MEDIUM,44,61,61,1140,7764,13,16
MEDIUM,34,77,61,1140,7764,12,0
MEDIUM,22,62,62,1140,7764,10,3
MEDIUM,44,62,62,1140,7764,14,6
MEDIUM,11,67,62,1140,7764,15,3
SOFT,22,64,63,1140,7764,11,3
MEDIUM,44,65,63,1140,7764,15,7
HARD,27,77,63,1140,7764,8,0
UNKNOWN,23,64,64,1140,7764,25,0
HARD,31,64,64,1140,7764,11,0
MEDIUM,31,65,65,1140,7764,12,0
SOFT,22,66,65,1140,7764,12,3
MEDIUM,23,83,65,1140,7764,26,0
HARD,31,66,66,1140,7764,13,1
MEDIUM,31,67,67,1140,7764,14,1
SOFT,22,69,67,1140,7764,13,5
MEDIUM,55,75,67,1140,7764,15,5
HARD,31,68,68,1140,7764,15,0
MEDIUM,11,69,68,1140,7764,16,13
MEDIUM,31,69,69,1140,7764,16,2
MEDIUM,22,70,70,1140,7764,14,8
HARD,31,70,70,1140,7764,17,3
MEDIUM,11,72,70,1140,7764,17,0
SOFT,22,71,71,1140,7764,15,0
MEDIUM,31,72,71,1140,7764,18,3
MEDIUM,21,84,71,1140,7764,8,3
SOFT,22,74,72,1140,7764,16,4
MEDIUM,63,78,72,1140,7764,12,0
MEDIUM,11,75,73,1140,7764,18,3
MEDIUM,31,75,73,1140,7764,19,0
MEDIUM,20,77,73,1140,7764,6,0
MEDIUM,77,82,73,1140,7764,10,0
MEDIUM,22,75,75,1140,7764,17,4
SOFT,22,76,76,1140,7764,18,8
MEDIUM,55,76,76,1140,7764,16,6
MEDIUM,11,78,76,1140,7764,19,0
SOFT,22,79,77,1140,7764,19,9
SOFT,20,80,78,1140,7764,7,0
MEDIUM,14,80,78,1140,7764,9,3
MEDIUM,63,80,79,1140,7764,13,7
MEDIUM,11,81,79,1140,7764,20,0
MEDIUM,63,83,81,1140,7764,14,0
SOFT,20,83,81,1140,7764,8,0
MEDIUM,11,93,82,1140,7764,21,3
MEDIUM,77,83,83,1140,7764,11,10
SOFT,20,84,84,1140,7764,9,3
MEDIUM,77,92,84,1140,7764,12,0
MEDIUM,23,102,84,1140,7764,27,0
SOFT,20,85,85,1140,7764,10,3
SOFT,21,86,85,1140,7764,9,0
MEDIUM,20,86,86,1140,7764,11,7
SOFT,21,87,87,1140,7764,10,0
MEDIUM,20,87,87,1140,7764,12,8
MEDIUM,20,88,88,1140,7764,13,0
MEDIUM,20,89,89,1140,7764,14,7
MEDIUM,20,90,90,1140,7764,15,7
MEDIUM,20,91,91,1140,7764,16,8
SOFT,20,92,92,1140,7764,17,4
MEDIUM,77,93,93,1140,7764,13,0
MEDIUM,20,93,93,1140,7764,18,19
SOFT,20,94,94,1140,7764,19,5
MEDIUM,77,98,94,1140,7764,14,3
MEDIUM,11,105,94,1140,7764,22,0
SOFT,20,95,95,1140,7764,20,5
MEDIUM,77,99,99,1140,7764,15,8
MEDIUM,77,102,100,1140,7764,16,3
MEDIUM,77,103,103,1140,7764,17,6
MEDIUM,23,122,103,1140,7764,28,0
TEST_UNKNOWN,77,108,104,1140,7764,18,0
SOFT,11,111,106,1140,7764,23,0
SOFT,77,111,109,1140,7764,19,0
SOFT,77,114,112,1140,7764,20,0
SOFT,11,117,112,1140,7764,24,0
SOFT,77,117,115,1140,7764,21,0
SOFT,77,120,118,1140,7764,22,0
SOFT,11,122,118,1140,7764,25,0
SOFT,77,123,121,1140,7764,23,0
SOFT,11,125,123,1140,7764,26,0
MEDIUM,23,132,123,1140,7764,29,0
SOFT,77,124,124,1140,7764,24,3
MEDIUM,77,126,125,1140,7764,25,8
MEDIUM,11,126,126,1140,7764,27,6
MEDIUM,11,127,127,1140,7764,28,0
SOFT,77,127,127,1140,7764,26,3
SOFT,11,128,128,1140,7764,29,6
SOFT,77,128,128,1140,7764,27,0
MEDIUM,11,129,129,1140,7764,30,7
MEDIUM,77,131,129,1140,7764,28,10
MEDIUM,11,130,130,1140,7764,31,1
SOFT,11,133,131,1140,7764,32,5
SOFT,23,133,133,1140,7764,30,0
TEST_UNKNOWN,23,134,134,1140,7764,31,6
SOFT,23,135,135,1140,7764,32,4
TEST_UNKNOWN,23,136,136,1140,7764,33,5
TEST_UNKNOWN,27,1,1,1140,9222,1,0
MEDIUM,34,1,1,1140,9222,1,0
HARD,81,1,1,1140,9222,1,0
MEDIUM,24,2,1,1140,9222,1,0
MEDIUM,14,2,1,1140,9222,1,5
SOFT,2,2,1,1140,9222,1,5
SOFT,23,2,1,1140,9222,1,0
HARD,10,2,1,1140,9222,1,0
MEDIUM,1,3,1,1140,9222,1,0
MEDIUM,44,3,1,1140,9222,1,16
SOFT,22,3,1,1140,9222,1,0
HARD,31,4,1,1140,9222,1,7
MEDIUM,4,4,1,1140,9222,1,5
MEDIUM,55,4,1,1140,9222,1,0
MEDIUM,16,5,1,1140,9222,1,8
MEDIUM,21,6,1,1140,9222,1,0
HARD,63,6,1,1140,9222,1,0
MEDIUM,20,7,1,1140,9222,1,0
MEDIUM,77,9,1,1140,9222,1,8
HARD,81,2,2,1140,9222,2,1
UNKNOWN,34,2,2,1140,9222,2,0
TEST_UNKNOWN,27,8,2,1140,9222,2,1
HARD,81,3,3,1140,9222,3,2
MEDIUM,34,3,3,1140,9222,3,0
SOFT,2,3,3,1140,9222,2,12
MEDIUM,24,4,3,1140,9222,2,2
SOFT,23,4,3,1140,9222,2,2
MEDIUM,14,7,3,1140,9222,2,0
MEDIUM,10,12,3,1140,9222,2,0
SOFT,22,4,4,1140,9222,2,3
HARD,81,4,4,1140,9222,4,3
SOFT,2,4,4,1140,9222,3,0
MEDIUM,34,7,4,1140,9222,4,2
MEDIUM,44,8,4,1140,9222,2,0
MEDIUM,1,9,4,1140,9222,2,3
HARD,81,5,5,1140,9222,5,4
SOFT,2,5,5,1140,9222,4,14
MEDIUM,4,5,5,1140,9222,2,9
UNKNOWN,23,6,5,1140,9222,3,0
MEDIUM,24,7,5,1140,9222,3,0
HARD,31,7,5,1140,9222,2,11
MEDIUM,55,8,5,1140,9222,2,4
SOFT,22,9,5,1140,9222,3,4
HARD,81,6,6,1140,9222,6,5
TEST_UNKNOWN,16,8,6,1140,9222,2,0
MEDIUM,2,10,6,1140,9222,5,15
HARD,4,15,6,1140,9222,3,0
SOFT,23,8,7,1140,9222,4,0
HARD,81,8,7,1140,9222,7,0
MEDIUM,21,9,7,1140,9222,2,0
HARD,63,11,7,1140,9222,2,6
HARD,31,8,8,1140,9222,3,14
MEDIUM,34,11,8,1140,9222,5,1
MEDIUM,24,12,8,1140,9222,4,3
UNKNOWN,14,12,8,1140,9222,3,0
MEDIUM,20,14,8,1140,9222,2,0
SOFT,23,9,9,1140,9222,5,0
HARD,81,10,9,1140,9222,8,8
TEST_UNKNOWN,55,11,9,1140,9222,3,0
MEDIUM,44,11,9,1140,9222,3,0
HARD,31,12,9,1140,9222,4,15
TEST_UNKNOWN,27,13,9,1140,9222,3,0
TEST_UNKNOWN,16,17,9,1140,9222,3,3
SOFT,23,10,10,1140,9222,6,9
MEDIUM,77,10,10,1140,9222,2,17
SOFT,22,12,10,1140,9222,4,9
MEDIUM,1,18,10,1140,9222,3,0
MEDIUM,21,18,10,1140,9222,3,3
SOFT,23,15,11,1140,9222,7,0
HARD,81,15,11,1140,9222,9,10
MEDIUM,2,17,11,1140,9222,6,0
MEDIUM,77,20,11,1140,9222,3,0
MEDIUM,44,14,12,1140,9222,4,0
HARD,63,16,12,1140,9222,3,11
MEDIUM,34,16,12,1140,9222,6,6
TEST_UNKNOWN,55,19,12,1140,9222,4,3
MEDIUM,10,13,13,1140,9222,3,0
MEDIUM,24,13,13,1140,9222,5,8
SOFT,22,15,13,1140,9222,5,12
HARD,31,15,13,1140,9222,5,19
MEDIUM,14,28,13,1140,9222,4,5
TEST_UNKNOWN,27,16,14,1140,9222,4,5
MEDIUM,24,20,14,1140,9222,6,0
MEDIUM,10,21,14,1140,9222,4,0
MEDIUM,44,17,15,1140,9222,5,0
MEDIUM,20,21,15,1140,9222,3,0
SOFT,22,18,16,1140,9222,6,15
MEDIUM,31,19,16,1140,9222,6,11
MEDIUM,23,22,16,1140,9222,8,0
TEST_UNKNOWN,81,25,16,1140,9222,10,0
HARD,4,25,16,1140,9222,4,0
TEST_UNKNOWN,27,19,17,1140,9222,5,8
MEDIUM,34,20,17,1140,9222,7,5
HARD,63,21,17,1140,9222,4,16
MEDIUM,16,20,18,1140,9222,4,0
MEDIUM,44,20,18,1140,9222,6,3
UNKNOWN,2,24,18,1140,9222,7,0
SOFT,22,21,19,1140,9222,7,18
MEDIUM,1,24,19,1140,9222,4,0
MEDIUM,21,31,19,1140,9222,4,0
MEDIUM,55,22,20,1140,9222,5,0
HARD,31,23,20,1140,9222,7,22
MEDIUM,27,26,20,1140,9222,6,0
MEDIUM,24,21,21,1140,9222,7,0
MEDIUM,77,21,21,1140,9222,4,10
MEDIUM,44,23,21,1140,9222,7,0
MEDIUM,34,24,21,1140,9222,8,11
MEDIUM,16,29,21,1140,9222,5,0
MEDIUM,10,22,22,1140,9222,5,8
